Check for Updates...	Zkontrolovat aktualizace...
Send Crash Report	Odeslat zprávu o pádu
Don’t Send	Neodesílat
Close	Zavřít
"Unfortunately it seems that %PRODUCTNAME crashed when it was last run.

You can help us to fix this issue by sending an anonymous crash report to the %PRODUCTNAME crash reporting server."	"Během předchozího spuštění %PRODUCTNAME zřejmě došlo k pádu.

Tento problém můžete pomoci odstranit tím, že o pádu odešlete anonymní zprávu na server, který informace o pádech %PRODUCTNAME shromažďuje."
Restart %PRODUCTNAME to enter safe mode	Restartovat %PRODUCTNAME v nouzovém režimu
Models	Modely
Instance	Instance
Submissions	Odeslání
Bindings	Vazby
Instances	Instance
Add...	Přidat...
Edit...	Upravit...
Remove...	Odstranit...
Show Details	Zobrazit detaily
Add...	Přidat...
Edit...	Upravit...
Remove	Odstranit
Lines and Arrows	Čáry a šipky
Curves and Polygons	Křivky a mnohoúhelníky
Connectors	Spojnice
Basic Shapes	Základní tvary
Symbol Shapes	Tvary symbolů
Block Arrows	Blokové šipky
Flowchart	Vývojový diagram
Callouts	Bubliny
Stars and Banners	Hvězdy a cedule
3D Objects	3D objekty
Delete footer?	Smazat zápatí?
Are you sure you want to delete the footer?	Opravdu chcete smazat zápatí?
All contents of the footer will be deleted and can not be restored.	Veškerý obsah zápatí bude smazán a nebude možné jej obnovit.
Delete header?	Smazat záhlaví?
Are you sure you want to delete the header?	Opravdu chcete smazat záhlaví?
All contents of the header will be deleted and can not be restored.	Veškerý obsah záhlaví bude smazán a nebude moci být obnoven.
3D Effects	3D efekty
Rounded edges	Zaoblené hrany
Scaled depth	Škálovaná hloubka
Rotation angle	Úhel otočení
Depth	Hloubka
Geometry	Geometrie
Horizontal	Vodorovné
Vertical	Svislé
Segments	Části
Object-Specific	Specifické pro objekt
Flat	Ploché
Spherical	Sférické
Invert Normals	Převrátit normály
Double-Sided Illumination	Oboustranné osvětlení
Double-Sided	Oboustranné
Normals	Normály
Convert to 3D	Převést na 3D
Convert to Rotation Object	Převést na rotační objekt
Perspective On/Off	Perspektiva zap/vyp
3D Preview	Náhled 3D
Color Light Preview	Náhled barvy světla
Mode	Režim
Flat	Ploché
Phong	Phongovo
Gouraud	Gouraudovo
Shading	Stínování
Surface angle	Sklon povrchu
3D Shadowing On/Off	3D stín zap/vyp
Shadow	Stín
Focal length	Ohnisková vzdálenost
Distance	Vzdálenost
Camera	Kamera
Light source	Zdroj světla
Colors Dialog	Dialog barev
Colors Dialog	Dialog barev
Ambient light	Ambientní osvětlení
Light Source 1	Zdroj světla 1
Light Source 2	Zdroj světla 2
Light Source 3	Zdroj světla 3
Light Source 4	Zdroj světla 4
Light Source 5	Zdroj světla 5
Light Source 6	Zdroj světla 6
Light Source 7	Zdroj světla 7
Light Source 8	Zdroj světla 8
Light 1 color	Barva světla 1
Light 2 color	Barva světla 2
Light 3 color	Barva světla 3
Light 4 color	Barva světla 4
Light 5 color	Barva světla 5
Light 6 color	Barva světla 6
Light 7 color	Barva světla 7
Light 8 color	Barva světla 8
Illumination	Osvětlení
Type	Typ
Mode	Režim
Projection X	Projekce X
Projection Y	Projekce Y
Filtering	Filtrování
Black & White	Černobílá
Color	Barevná
Only Texture	Pouze textura
Texture and Shading	Textura a stínování
Texture, Shadow and Color	Textura, stín a barva
Object-Specific	Specifická pro objekt
Parallel	Rovnoběžná
Circular	Kruhová
Object-Specific	Specifická pro objekt
Parallel	Rovnoběžná
Circular	Kruhová
Filtering On/Off	Filtrování zap/vyp
Textures	Textury
Favorites	Oblíbené
Object color	Barva objektu
Illumination color	Barva osvětlení
User-defined	Definované uživatelem
Metal	Kov
Gold	Zlato
Chrome	Chrom
Plastic	Plast
Wood	Dřevo
Colors Dialog	Dialog barev
Colors Dialog	Dialog barev
Material	Materiál
Color	Barva
Intensity	Intenzita
Colors Dialog	Dialog barev
Specular	Odraz
Assign	Přiřadit
Update	Aktualizovat
Material	Materiál
Textures	Textury
Illumination	Osvětlení
Shading	Stínování
Geometry	Geometrie
Color Replacer	Náhrada barev
Source color	Původní barva
Tolerance	Tolerance
Replace with...	Nahradit za...
Source Color 2	Původní barva 2
Source Color 3	Původní barva 3
Source Color 4	Původní barva 4
Source Color 1	Původní barva 1
Transparency	Průhlednost
Tolerance 1	Tolerance 1
Tolerance 2	Tolerance 2
Tolerance 3	Tolerance 3
Tolerance 4	Tolerance 4
Replace with 1	Nahradit za 1
Replace with 2	Nahradit za 2
Replace with 3	Nahradit za 3
Replace with 4	Nahradit za 4
Colors	Barvy
Replace	Nahradit
Pipette	Kapátko
Fontwork	Písmomalba
Off	Vypnuto
Rotate	Otočit
Upright	Vzpřímené
Slant Horizontal	Zkosit vodorovně
Slant Vertical	Zkosit svisle
Orientation	Orientace
Align Left	Zarovnat vlevo
Center	Na střed
Align Right	Zarovnat vpravo
AutoSize Text	Automatická velikost textu
Distance	Vzdálenost
Indent	Odsazení
Contour	Obrys
Text Contour	Obrysy textu
No Shadow	Bez stínování
Vertical	Svisle
Slant	Zkosení
Distance X	Vzdálenost X
Distance Y	Vzdálenost Y
Shadow Color	Barva stínu
%PRODUCTNAME Document Recovery	Obnova dokumentů %PRODUCTNAME
Save	Uložit
"The automatic recovery process was interrupted.

The documents listed below will be saved in the folder noted below if you click 'Save'. Click 'Cancel' to close the wizard without saving the documents."	"Automatická obnova byla přerušena.

Pokud kliknete na tlačítko 'Uložit', uloží se níže vypsané dokumenty do určené složky. Kliknutím na tlačítko 'Zrušit' průvodce ukončíte bez uložení dokumentů."
Documents:	Dokumenty:
Save to:	Uložit do:
Change...	Změnit...
Documents Are Being Saved	Dokumenty jsou ukládány
Progress of saving:	Průběh ukládání:
%PRODUCTNAME %PRODUCTVERSION Document Recovery	Obnova dokumentů %PRODUCTNAME %PRODUCTVERSION
Discard	Zahodit
Start	Spustit
%PRODUCTNAME will attempt to recover the state of the files you were working on before it crashed. Click 'Start' to begin the process, or click 'Discard' to cancel the recovery.	%PRODUCTNAME se pokusí obnovit stav souborů, na kterých jste pracovali před pádem aplikace. Kliknutím na 'Spustit' obnovu zahájíte, kliknutím na 'Zahodit' ji zrušíte.
Status of recovered documents:	Stav obnovených dokumentů:
Document Name	Název dokumentu
Status	Stav
%PRODUCTNAME %PRODUCTVERSION Document Recovery	Obnova dokumentů %PRODUCTNAME %PRODUCTVERSION
Due to an error, %PRODUCTNAME crashed. All the files you were working on will now be saved. The next time %PRODUCTNAME is launched, your files will be recovered automatically.	%PRODUCTNAME havaroval kvůli chybě. Všechny soubory, na kterých jste pracovali, se nyní uloží. Až příště spustíte %PRODUCTNAME, tyto soubory se automaticky obnoví.
The following files will be recovered:	Obnoveny budou následující soubory:
Extrusion Depth	Hloubka vytlačení
Value	Hodnota
Depth	Hloubka
Delete	Smazat
Edit	Upravit
Is Null	Je null
Is not Null	Není null
Find & Replace	Najít a nahradit
Find:	Najít:
Match case	Rozlišovat velikost
Formatted display	Zobrazený řetězec
Whole words only	Pouze celá slova
Entire cells	Celé buňky
All sheets	Všechny listy
Search For	Hledat
Replace:	Nahradit:
Replace With	Nahradit za
Find All	Najít vše
Find Previous	Najít předchozí
Find Next	Najít další
Replace	Nahradit
Replace All	Nahradit vše
Current selection only	Pouze v současném výběru
Regular expressions	Regulární výrazy
Attributes...	Atributy...
Format...	Formát...
No Format	Bez formátu
Search for styles	Hledat styly
Diacritic-sensitive	Rozlišovat diakritiku
Kashida-sensitive	Rozlišovat kašídu
Match character width	Porovnat šířku znaku
Similarity search	Hledání podobností
Similarities...	Podobnosti...
Sounds like (Japanese)	Zní jako (japonština)
Sounds...	Zní jako...
Wildcards	Zástupné znaky
Comments	Komentáře
Replace backwards	Nahradit pozpátku
Search in:	Hledat v:
Formulas	Vzorce
Values	Hodnoty
Notes	Poznámky
Direction:	Směr:
Rows	Řádky
Columns	Sloupce
Other options	Ostatní možnosti:
Angle:	Úhel:
Specify the angle of rotation for the gradient shading style.	Zadejte úhel otočení pro styl přechodu.
Rotate counterclockwise by 45 degrees.	Otočit o 45° proti směru hodinových ručiček.
Rotate clockwise by 45 degrees.	Otočit o 45° po směru hodinových ručiček.
Start value:	Počáteční hodnota:
End value:	Koncová hodnota:
Enter a transparency value for the beginning point of the gradient, where 0% is fully opaque and 100% is fully transparent.	Zadejte hodnotu průhlednosti pro počáteční bod přechodu, 0 % znamená neprůhlednost a 100 % úplnou průhlednost.
Enter a transparency value for the endpoint of the gradient, where 0% is fully opaque and 100% is fully transparent.	Zadejte hodnotu průhlednosti pro koncový bod přechodu, 0 % znamená neprůhlednost a 100 % úplnou průhlednost.
Border:	Hranice:
Specify the border value of gradient transparency.	Určete hraniční hodnotu průhlednosti přechodu.
Center X:	Střed X:
Center Y:	Střed Y:
Specify the horizontal offset percentage from the center for the gradient shading style. 50% is the horizontal center.	Zadejte pro styl přechodu posun od středu ve vodorovném směru v procentech. 50 % znamená střed ve vodorovném směru.
Specify the vertical offset percentage from the center for the gradient shading style.  50% is the vertical center.	Zadejte pro styl přechodu posun od středu ve svislém směru v procentech. 50 % znamená střed ve svislém směru.
Contour Editor	Editor obrysů
Color	Barva
Apply	Použít
Workspace	Pracovní plocha
Select	Vybrat
Rectangle	Obdélník
Ellipse	Elipsa
Polygon	Mnohoúhelník
Edit Points	Upravit body
Move Points	Přesunout body
Insert Points	Vložit body
Delete Points	Smazat body
AutoContour	Automatický obrys
Undo 	Zpět
Redo	Znovu
Pipette	Kapátko
Color Tolerance	Tolerance barev
Custom Line Width:	Vlastní šířka čáry:
Fontwork Gallery	Galerie písmomalby
Select a Fontwork style:	Vyberte styl písmomalby
Fontwork Character Spacing	Rozestup znaků písmomalby
Value:	Hodnota:
Add Item	Přidat položku
Add Element	Přidat element
Add Attribute	Přidat atribut
Edit	Upravit
Delete	Smazat
This instance is linked with the form.	Tato instance je spojena s formulářem.
"The changes you make to this instance will be lost when the form is reloaded.

How do you want to proceed?"	"Změny, které provedete, se při opětovném načtení formuláře ztratí.

Opravdu si přejete pokračovat?"
Edit	Upravit
New	Nový
Form	Formulář
Hidden Control	Skrytý ovládací prvek
Replace with	Nahradit za
Cut	Vyjmout
Copy	Kopírovat
Paste	Vložit
Delete	Smazat
Tab Order...	Pořadí aktivace...
Rename	Přejmenovat
Properties	Vlastnosti
Open in Design Mode	Otevřít v režimu návrhu
Automatic Control Focus	Automaticky zaměřit ovládací prvek
Average	Průměr
CountA	Počet hodnot
Count	Počet čísel
Maximum	Maximum
Minimum	Minimum
Sum	Součet
Selection count	Počet vybraných
None	Nic
Update	Aktualizace
Delete	Smazat
Rename	Přejmenovat
Assign ID	Přiřadit ID
Properties...	Vlastnosti
Insert	Vložit
Insert as Background	Vložit jako pozadí
Preview	Náhled
Title	Nadpis
Delete	Smazat
Copy	Kopírovat
Paste	Vložit
Header on	Záhlaví zapnuto
Footer on	Zápatí zapnuto
Same content on left and right pages	Stejný obsah na levých a pravých stránkách
Same content on first page	Stejný obsah na první stránce
Left margin:	Levý okraj:
Right margin:	Pravý okraj:
Spacing:	Mezery:
Use dynamic spacing	Použít dynamické mezery
Height:	Výška:
AutoFit height	Automatická úprava výšky
More...	Více...
Edit...	Upravit...
Header	Záhlaví
Footer	Zápatí
Apply	Použít
Open...	Otevřít…
Save...	Uložit…
Close	Zavřít
Select	Vybrat
Rectangle	Obdélník
Ellipse	Elipsa
Polygon	Mnohoúhelník
Freeform Polygon	Mnohoúhelník od ruky
Edit Points	Upravit body
Move Points	Přesunout body
Insert Points	Vložit body
Delete Points	Smazat body
Undo 	Zpět
Redo	Znovu
Active	Aktivní
Macro...	Makro...
Properties...	Vlastnosti...
Address:	Adresa:
Frame:	Rámec:
Text:	Text:
Description...	Popis...
Macro...	Makro...
Active	Aktivní
Arrange	Uspořádat
Bring to Front	Přenést do popředí
Bring Forward	Přenést blíž
Send Backward	Odsunout dál
Send to Back	Odsunout do pozadí
Select All	Vybrat vše
Delete	Smazat
Confirm Linked Graphic	Potvrdit obrázek jako odkaz
The file %FILENAME will not be stored along with your document, but only referenced as a link.	Soubor %FILENAME nebude uložen spolu s dokumentem, ale pouze jako odkaz.
This is dangerous if you move and/or rename the files. Do you want to embed the graphic instead?	Pokud se změní umístění nebo název souboru, bude obrázek nedostupný. Přejete si namísto toho obrázek vložit?
Keep Link	Zachovat odkaz
Embed Graphic	Vložit obrázek
Ask when linking a graphic	Při odkazování na obrázek zobrazit dotaz
Playback:	Přehrávání
Seek:	Posunout:
Volume:	Hlasitost:
View	Zobrazit
Namespaces for Forms	Jmenné prostory pro formuláře
Add...	Přidat...
Edit...	Upravit...
Prefix	Prefix
URL	URL
Namespaces	Jmenné prostory
None	Žádná
Recent	Poslední
Custom Color…	Vlastní barva…
Snap to grid	Přichytit k mřížce
Visible grid	Viditelná mřížka
Grid	Mřížka
Horizontal:	Vodorovné:
Vertical:	Svislé:
Synchronize axes	Synchronizovat osy
Resolution	Rozlišení
space(s)	mezery
space(s)	mezery
Horizontal:	Vodorovné:
Vertical:	Svislé:
Subdivision	Podružné rozdělení
To snap lines	K vodítkům
To the page margins	K okrajům stránky
To object frame	K rámečku objektu
To object points	K bodům objektu
Snap range:	Oblast přichycení:
Snap	Přichytit
When creating or moving objects	Při vytváření nebo přesunu objektů
Extend edges	Rozšířit hrany
When rotating:	Při otáčení:
Point reduction:	Redukce bodů:
Constrain Objects	Omezit objekty
Spacing: 1	Řádkování: 1
Spacing: 1.15	Řádkování: 1,15
Spacing: 1.5	Řádkování: 1,5
Spacing: 2	Řádkování: 2
Line Spacing:	Řádkování:
Single	Jednoduché
1.15 Lines	1,15 řádku
1.5 Lines	1,5 řádku
Double	Dvojité
Proportional	Proporcionální
At least	Nejméně
Leading	Proklad
Fixed	Přesně
Value:	Hodnota:
Custom Value	Vlastní hodnota
Before Text Indent	Odsazení před textem
After Text Indent	Odsazení za textem
First Line Indent	Odsazení prvního řádku
Above Paragraph Spacing	Mezera nad odstavcem
Below Paragraph Spacing	Mezera pod odstavcem
Change Password	Změnit heslo
Password:	Heslo:
Old Password	Staré heslo
Password:	Heslo:
Confirm:	Potvrdit:
New Password	Nové heslo
Rename	Přejmenovat
Delete	Smazat
Profile exported	Profil exportován
Open Containing Folder	Otevřít složku obsahující soubor
Your user profile has been exported as “libreoffice-profile.zip”.	Uživatelský profil byl exportován jako „libreoffice-profile.zip“.
Delete the contour?	Smazat obrysy?
"Setting a new workspace will
cause the contour to be deleted."	"Při nastavení nové pracovní plochy
se smažou obrysy."
Are you sure you want to continue?	Opravdu si přejete pokračovat?
Delete this object?	Smazat tento objekt?
Do you really want to delete this object?	Opravdu si přejete smazat tento objekt?
Delete this theme?	Smazat tento motiv vzhledu?
Do you really want to delete this theme?	Opravdu si přejete smazat tento motiv vzhledu?
Save ImageMap changes?	Uložit změny obrázkové mapy?
The ImageMap has been modified.	Obrázková mapa byla upravena.
Do you want to save the changes?	Přejete si uložit změny?
Create a new contour?	Vytvořit nový obrys?
Do you want to create a new contour?	Přejete si vytvořit nový obrys?
Save contour changes?	Uložit změny obrysu?
The contour has been modified.	Obrys byl upraven.
Do you want to save the changes?	Přejete si uložit změny?
Save ImageMap changes?	Uložit změny obrázkové mapy?
The ImageMap has been modified.	Obrázková mapa byla upravena.
Do you want to save the changes?	Přejete si uložit změny?
Unlink the graphics?	Zrušit odkaz na obrázek?
This graphic object is linked to the document.	Tento obrázek je vložen do dokumentu jako odkaz.
Do you want to unlink the graphics in order to edit it?	Přejete si tento odkaz rozpojit, abyste mohli obrázek upravit?
List	Seznam
Filter	Filtr
Date:	Datum:
Author:	Autor:
Comment:	Komentář:
Comment	Komentář
Range:	Rozsah:
Action	Činnost
Action:	Činnost:
Author	Autor
Range	Rozsah
Set reference	Nastavit odkaz
earlier than	před
since	od
equal to	je rovno
not equal to	není rovno
between	leží mezi
since saving	od zápisu
Date Condition	Podmínka data
and	a
Start Date	Počáteční datum
Start Time	Počáteční čas
Set current time and date	Nastavit aktuální čas a datum
End Date	Koncové datum
End Time	Koncový čas
Set current time and date	Nastavit aktuální čas a datum
Action	Činnost
Position	Umístění
Author	Autor
Date	Datum
Comment	Komentář
Changes	Změny
Changes	Změny
Delete Rows	Smazat řádky
Save Record	Uložit záznam
Undo: Data entry	Zpět: položka
Millimeter	Milimetr
Centimeter	Centimetr
Meter	Metr
Kilometer	Kilometr
Inch	Palec
Foot	Stopa
Miles	Míle
Point	Bod
Pica	Pika
Char	Znak
Line	Řádek
Safe Mode	Nouzový režim
Continue in Safe Mode	Pokračovat v nouzovém režimu
Restart in Normal Mode	Restartovat v běžném režimu
Apply Changes and Restart	Použít změny a restartovat
"%PRODUCTNAME is now running in safe mode which temporarily disables your user configuration and extensions.

You can make one or more of the following changes to your user profile to return %PRODUCTNAME to a working state."	"%PRODUCTNAME je nyní spuštěn v nouzovém režimu, v němž jsou dočasně vypnuta vaše uživatelská nastavení a rozšíření.

Aby začal %PRODUCTNAME opět fungovat, můžete zkusit provést na uživatelském profilu jednu či více následujících změn."
Restore from backup	Obnovit ze zálohy
Restore user configuration to the last known working state	Obnovit uživatelská nastavení do posledního známého funkčního stavu
Restore state of installed user extensions to the last known working state	Obnovit stav nainstalovaných uživatelských rozšíření do posledního známého funkčního stavu
Configure	Nastavení
Disable all user extensions	Zakázat všechna uživatelská rozšíření
Disable hardware acceleration (OpenGL, OpenCL)	Zakázat hardwarovou akceleraci (OpenGL, OpenCL)
Extensions	Rozšíření
Uninstall all user extensions	Odinstalovat všechna uživatelská rozšíření
Reset state of shared extensions	Obnovit stav sdílených rozšíření
Reset state of bundled extensions	Obnovit stav rozšíření dodávaných s instalací
Reset to factory settings	Obnovit tovární nastavení
Reset settings and user interface modifications	Obnovit nastavení a úpravy uživatelského rozhraní
Reset entire user profile	Obnovit celý uživatelský profil
If you experience problems that are not resolved by using safe mode, visit the following link to get help or report a bug.	Pokud problémy přetrvávají i při použití nouzového režimu, na následujícím odkazu můžete položit dotaz nebo nahlásit chybu.
Get Help	Získat pomoc
You can also include relevant parts of your user profile in the bugreport (be aware it might contain personal data).	K hlášení o chybě můžete přiložit související části uživatelského profilu (mějte však na paměti, že mohou obsahovat osobní údaje).
Archive User Profile	Archivovat uživatelský profil
Show User Profile	Zobrazit uživatelský profil
Advanced	Pokročilé
Do you want to save your changes?	Přejete si uložit změny?
The content of the current form has been modified.	Obsah aktuálního formuláře byl změněn.
Standard selection	Standardní výběr
Extending selection	Rozšiřitelný výběr
Adding selection	Doplnitelný výběr
Block selection	Výběr bloku
Fill:	Výplň:
Fill:	Výplň:
Select the color to apply.	Vyberte barvu, kterou chcete použít.
Select the effect to apply.	Vyberte efekt, který chcete použít.
Hatching/Bitmap	Šrafování/rastr
Fill gradient from.	Počáteční barva přechodu.
Select the fill type to apply.	Vyberte typ výplně, který chcete použít.
Fill Type	Typ výplně
Fill gradient to.	Koncová barva přechodu.
Select the gradient style.	Vyberte styl přechodu.
Linear	Lineární
Axial	Axiální
Radial	Radiální
Ellipsoid	Oválný
Quadratic	Krychlový
Square	Čtvercový
Gradient Type	Typ přechodu
Import	Importovat
Select the gradient angle.	Vyberte úhel přechodu.
Gradient angle	Úhel přechodu
Transparency	Průhlednost
Transparency:	Průhlednost:
Select the type of transparency to apply.	Vyberte typ průhlednosti, který chcete použít.
None	Žádná
Solid	Plná
Linear	Lineární
Axial	Axiální
Radial	Kruhová
Ellipsoid	Eliptická
Quadratic	Čtyřúhelníková
Square	Čtvercová
Transparency Type	Typ průhlednosti
Specify the variation of gradient transparency.	Zadejte variabilitu průhlednosti přechodu.
Specify 0% for fully opaque through 100% for fully transparent.	Zadejte od 0 % pro zcela neprůhlednou až po 100 % pro zcela průhlednou.
Specify 0% for fully opaque through 100% for fully transparent.	Zadejte od 0 % pro zcela neprůhlednou až po 100 % pro zcela průhlednou.
Transparency	Průhlednost
Brightness:	Jas:
Specify the luminance of the graphic.	Určete světelnost obrázku.
Brightness	Jas
Contrast:	Kontrast:
Specify the degree of difference between the lightest and darkest parts of the graphic.	Určete velikost rozdílu mezi nejsvětlejšími a nejtmavšími částmi obrázku.
Contrast	Kontrast
Color mode:	Barevný režim:
Color mode	Barevný režim
Transparency:	Průhlednost:
Specify the percentage of transparency; 0% is fully opaque and 100% is fully transparent.	Určete průhlednost; 0 % je zcela neprůhledný a 100 % zcela průhledný.
Transparency	Průhlednost
Red	Červená
Red	Červená
Green	Zelená
Green	Zelená
Blue	Modrá
Blue	Modrá
Specify the gamma value that affects the brightness of the midtone values.	Zadejte hodnotu gama, která určuje jas středních tónů.
Gamma value	Hodnota gama
Select the style of the beginning arrowhead.	Vyberte styl počátku šipky.
Beginning Style	Styl začátku
Select the style of the line.	Vyberte styl čáry.
Style	Styl
Select the style of the ending arrowhead.	Vyberte styl konce šipky.
Ending Style	Styl konce
Width:	Šířka:
Select the width of the line.	Vyberte šířku čáry.
Color:	Barva:
Select the color of the line.	Vyberte barvu čáry.
Select the color of the line.	Vyberte barvu čáry.
Transparency:	Průhlednost:
Specify the transparency of the line.	Určete průhlednost čáry.
Transparency	Průhlednost
Corner style:	Styl rohu:
Select the style of the edge connections.	Vyberte styl spojení hran.
Rounded	Zakulacený
- none -	- žádný -
Mitered	Seříznutý
Beveled	Zkosený
Corner Style	Styl rohu
Cap style:	Styl zakončení:
Select the style of the line caps.	Vyberte styl zakončení čáry.
Flat	Ploché
Round	Zakulacené
Square	Čtvercové
Cap Style	Styl zakončení
Bullets and Numbering	Odrážky a číslování
Bullets and Numbering	Odrážky a číslování
Horizontal Alignment	Vodorovné zarovnání
Vertical Alignment	Svislé zarovnání
Spacing:	Rozestupy:
Spacing	Rozestupy
Above Paragraph Spacing	Mezera nad odstavcem
Above Paragraph Spacing	Mezera nad odstavcem
Below Paragraph Spacing	Mezera pod odstavcem
Below Paragraph Spacing	Mezera pod odstavcem
Line Spacing	Řádkování
Indent:	Odsazení:
Indent	Odsazení
Increase Indent	Zvětšit odsazení
Decrease Indent	Zmenšit odsazení
Switch to Hanging Indent	Přepnout na předsazení prvního řádku
Before Text Indent	Odsazení před textem
Before Text Indent	Odsazení před textem
After Text Indent	Odsazení za textem
After Text Indent	Odsazení za textem
First Line Indent	Odsazení prvního řádku
First Line Indent	Odsazení prvního řádku
Paragraph Background Color	Barva pozadí odstavce
Position X:	Pozice X:
Enter the value for the horizontal position.	Zadejte hodnotu vodorovného umístění.
Horizontal	Vodorovně
Position Y:	Pozice Y:
Enter the value for the vertical position.	Zadejte hodnotu svislého umístění.
Vertical	Svisle
Width:	Šířka:
Enter a width for the selected object.	Zadejte šířku vybraného objektu.
Width	Šířka
Height:	Výška:
Enter a height for the selected object.	Zadejte výšku vybraného objektu.
Height	Výška
Keep ratio	Zachovat poměr
Maintain proportions when you resize the selected object.	Zachová poměr stran při změně velikosti vybraného objektu.
Rotation:	Otočení:
Rotation	Otočení
Select the angle for rotation.	Vyberte úhel otočení.
Flip:	Překlopit:
Flip the selected object vertically.	Překlopí vybraný objekt svisle.
Flip the selected object horizontally.	Překlopí vybraný objekt vodorovně.
Arrange:	Uspořádat:
Arrange	Uspořádat
Angle:	Úhel:
Distance:	Vzdálenost:
Color:	Barva:
Transparency:	Průhlednost:
Enable	Povolit
Update to Match Selection	Aktualizovat podle výběru
Edit Style...	Upravit styl...
Very Tight	Velmi těsné
Tight	Těsné
Normal	Běžné
Loose	Volné
Very Loose	Velmi volné
Last Custom Value	Poslední vlastní hodnota
0,0	0,0
Custom Value	Vlastní hodnota
Character	Znak
Font	Písmo
Font Effects	Efekty pro písmo
Position	Umístění
Paragraph	Odstavec
Indents & Spacing	Odsazení a rozestupy
Alignment	Zarovnání
Asian Typography	Asijská typografie
Tabs	Tabulátory
(Without)	(Bez)
Single	Jednoduché
Double	Dvojité
Bold	Tučné
Dotted	Tečkované
Dotted (Bold)	Tučné tečkované
Dash	Čárkované
Long Dash	Čárkované (dlouhá čárka)
Dot Dash	Čerchované
Dot Dot Dash	Dvojčerchované
Wave	Vlnité
More Options...	Další možnosti...
Add Item	Přidat položku
Add Element	Přidat element
Add Attribute	Přidat atribut
Edit	Upravit
Delete	Smazat
Digital Signatures...	Elektronické podpisy...
Entire Page	Celá stránka
Page Width	Šířka stránky
Optimal View	Optimální zobrazení
50%	50 %
75%	75 %
100%	100 %
150%	150 %
200%	200 %
"Extra Small (1/16"")"	"Velmi malé (1/16 "")"
"Small (1/8"")"	"Malé (1/8 "")"
"Small Medium (1/4"")"	"Menší střední (1/4 "")"
"Medium (3/8"")"	"Střední (3/8 "")"
"Medium Large (1/2"")"	"Větší střední (1/2 "")"
"Large (3/4"")"	"Velké (3/4 "")"
"Extra Large (1"")"	"Velmi velké (1 "")"
"Extra Small (1/16"")"	"Velmi malé (1/16 "")"
"Small (1/8"")"	"Malé (1/8 "")"
"Small Medium (1/4"")"	"Menší střední (1/4 "")"
"Medium (3/8"")"	"Střední (3/8 "")"
"Medium Large (1/2"")"	"Větší střední (1/2 "")"
"Large (3/4"")"	"Velké (3/4 "")"
"Extra Large (1"")"	"Velmi velké (1"")"
Mahagoni	Mahagon
Don’t Send	Neodesílat
Angle	Úhel
Distance	Vzdálenost
Digital Signature: The document signature does not match the document content. We strongly recommend you to do not trust this document.	Elektronický podpis: Podpis dokumentu neodpovídá obsahu dokumentu. Doporučujeme vám nedůvěřovat tomuto dokumentu.
Lines & Arrows	Čáry a šipky
Curve	Křivka
Symbols	Symboly
Stars	Hvězdy
Open	Otevřít
Apply	Použít
Play	Přehrát
Pause	Pozastavit
Stop	Zastavit
Repeat	Opakovat
Mute	Ztlumit
View	Zobrazit
50%	50 %
100%	100 %
200%	200 %
Scaled	Zvětšeno
Volume	Hlasitost
Position	Pozice
Media Player	Přehrávač médií
Media Path	Cesta k multimédiu
No Media Selected	Nebylo vybráno žádné multimédium
Insert Audio or Video	Vložit zvuk nebo video
Open Audio or Video	Otevřít zvuk nebo video
All audio and video files	Všechny zvukové nebo video soubory
All files	Všechny soubory
The format of the selected file is not supported.	Formát vybraného souboru není podporován.
<All>	<Vše>
< No Module >	< Žádný modul >
Incorrect Password	Neplatné heslo
The file does not contain any BASIC libraries	Soubor neobsahuje žádné knihovny BASIC
Invalid Name	Neplatný název
A library name can have up to 30 characters.	Název knihovny může obsahovat maximálně 30 znaků.
Macros from other documents are not accessible.	Makra z jiných dokumentů nejsou dostupná.
This library is read-only.	Tato knihovna je jen pro čtení.
'XX' cannot be replaced.	Nelze nahradit 'XX'.
'XX' cannot be added.	Nelze přidat 'XX'.
'XX' was not added.	'XX' nebylo přidáno.
Enter password for 'XX'	Zadejte heslo pro 'XX'
Name already exists	Název již existuje
(Signed)	(Podepsaný)
Object with same name already exists	Objekt s takovým názvem již existuje
"For security reasons, you cannot run this macro.

For more information, check the security settings."	"Z bezpečnostních důvodů není možné spustit toto makro.

Pro další informace ověřte nastavení zabezpečení."
Search key not found	Hledané klíčové slovo nenalezeno
Search to last module complete. Continue at first module?	Hledání dokončeno až k poslednímu modulu. Pokračovat od prvního modulu?
Search key replaced XX times	Hledané klíčové slovo bylo XXkrát nahrazeno
The file could not be read	Soubor nelze přečíst
The file could not be saved	Soubor nelze uložit
The name of the default library cannot be changed.	Název výchozí knihovny nelze změnit.
Generating source	Generuje se zdroj
File name:	Název souboru:
Import Libraries	Importovat knihovny
Do you want to delete the macro XX?	Přejete si smazat makro XX?
Do you want to delete the XX dialog?	Přejete si smazat dialogové okno XX?
Do you want to delete the XX library?	Přejete si smazat knihovnu XX?
Do you want to delete the reference to the XX library?	Přejete si smazat odkaz na knihovnu XX?
Do you want to delete the XX module?	Přejete si smazat modul XX?
BASIC	BASIC
Ln	Řádek
Col	Sloupec
The window cannot be closed while BASIC is running.	Okno nelze zavřít, dokud běží kód BASIC.
The default library cannot be replaced.	Výchozí knihovnu nelze nahradit.
