on	zapnout
Use RSID	Použít RSID
Apply presentation layout	Použít rozvržení prezentace
Use extended types	Použít rozšířené typy
Use system credentials	Použít přihlášení do systému
Use transition effects	Použít přechodové efekty
Use first line as column names	Použít první řádek jako názvy sloupců
Use Wizard to Create Table...	Použít průvodce pro vytvoření tabulky...
Use Wizard to Create Report...	Použít průvodce pro vytvoření sestavy...
Use Wizard to Create Form...	Použít průvodce pro vytvoření formuláře...
Use Wizard to Create Query...	Použít průvodce pro vytvoření dotazu...
Apply to all similar texts	Použít pro všechny podobné texty
Use '%ENGLISHUSLOCALE' locale for numbers	Použít pro čísla nastavení '%ENGLISHUSLOCALE'
Use system font for user interface	Použít písmo systému pro uživatelské rozhraní
Use system font for user interface	Použít písmo systému
Use hard attributes	Použít pevné atributy
Use SQL92 naming constraints	Použít omezení v pojmenování SQL92
Apply border and shadow	Použít ohraničení a stín
Apply border and shadow	Použít ohraničení a stín
Apply border	Použít ohraničení
Apply Objects Individually	Použít objekty jednotlivě
Apply Object	Použít objekt
Apply column name	Použít název sloupce
Use schema name in SELECT statements	Použít název schématu ve výrazech typu SELECT
Use catalog name in SELECT statements	Použít název katalogu ve výrazech typu SELECT
Use browser settings	Použít nastavení prohlížeče
Use superordinate object settings	Použít nastavení nadřazeného objektu
Use Random starting point	Použít náhodný počátek
Use Random Starting Point	Použít náhodný počátek
Apply to selected slides	Použít na vybrané snímky
Apply to All Slides	Použít na všechny snímky
Apply to All	Použít na všechny
Apply to All	Použít na všechny
Apply to	Použít na
Use background cache	Použít mezipaměť v pozadí
Use keyword AS before table alias names	Použít klíčové slovo AS před aliasy tabulek
Kern Character Pairs	Použít kerning
Use as default?	Použít jako výchozí?
Use as default printer	Použít jako výchozí tiskárnu
Use as Default	Použít jako výchozí
Use hardware acceleration	Použít hardwarovou akceleraci
Use hardware acceleration	Použít hardwarovou akceleraci
Use function	Použít funkci
Use OpenOffice.org 1.1 tabstop formatting	Použít formátování kroku tabulátoru jako OpenOffice.org 1.1
Apply field format	Použít formát pole
Use ODF Format	Použít formát ODF
Use %FORMATNAME Format	Použít formát %FORMATNAME
Apply Filter	Použít filtr
Apply Form-Based Filter	Použít filtr
Use an existing field as a primary key	Použít existující pole jako primární klíč
Use existing	Použít existující
Use dynamic spacing	Použít dynamické mezery
Use %PRODUCTNAME dialogs	Použít dialogy %PRODUCTNAME
Use ODBC conformant date/time literals	Použít datum/čas kompatibilní s ODBC
Apply numbering - symbol: 	Použít číslování - symbol: 
Use entire height	Použít celou výšku
Use entire width	Použít celou šířku
Use a Java runtime environment	Použít běhové prostředí jazyka Java (JRE)
Use browser colors	Použít barvy prohlížeče
Apply table attributes	Použít atributy tabulky
Apply attributes to %1	Použít atributy na %1
Apply attributes	Použít atributy
Use English function names	Použít anglické názvy funkcí
Use the current document	Použít aktuální dokument
Use ACR Comparator (instead of BCH)	Použít ACR komparátor (místo BCH)
Use ACR Comparator	Použít ACR komparátor
Apply and Edit Changes	Použít a upravit změny
Apply 3D favorite	Použít 3D oblíbený
Apply	Použít
Apply	Použít
Applies a Style to the formula cell.	Použije definovaný styl na buňku se vzorcem.
Western characters only	Pouze západní znaky
Set Outer Border Only	Pouze vnější ohraničení
Outside only	Pouze vně
Current selection only	Pouze v současném výběru
Current document only	Pouze v současném dokumentu
Only Texture	Pouze textura
Text only	Pouze text
Text only	Pouze text
Page only	Pouze stránka
Current document only	Pouze současný dokument
Add data only	Pouze přidat data
For the current document only	Pouze pro současný dokument
Only right	Pouze pravé
Description only	Pouze popis
Line Contour Only	Pouze obrys
Non-proportional fonts only	Pouze neproporcionální písma
Non-proportional fonts only	Pouze neproporcionální písma
Title Only	Pouze nadpis
Comments only	Pouze komentáře
Comments only	Pouze komentáře
Number range only	Pouze interval
Icons Only	Pouze ikony
Icons Only	Pouze ikony
Hanja only	Pouze Hanja
Hangul only	Pouze Hangul
Number range only	Pouze číselný interval
Lines Only	Pouze čáry
Whole words only	Pouze celá slova
Whole words only	Pouze celá slova
Complete words only	Pouze celá slova
Points Only	Pouze body
Only the active sheet could be saved.	Pouze aktivní list bude uložen.
Confirm:	Potvrzení:
The password confirmation does not match.	Potvrzení hesla neodpovídá zadanému heslu.
Confirmation	Potvrzení
Confirm Icon Replacement	Potvrďte nahrazení ikony
Confirm password: 	Potvrďte heslo: 
Reenter password:	Potvrďte heslo:
Reenter password to modify	Potvrďte heslo pro úpravy
Reenter password to open	Potvrďte heslo k otevření
Confirm password	Potvrďte heslo
Reenter password	Potvrďte heslo
Confirm Delete	Potvrdit smazání
Confirm deletion	Potvrdit odstranění
Confirm Deletion	Potvrdit odstranění
Confirm password	Potvrdit heslo
Confirm File Format	Potvrdit formát souboru
Confirm	Potvrdit
Confirm	Potvrdit
TempPref	PotřTepl
LightPref	PotřSvětl
ReqStaffng	PotřPracov
RequiredStaffing	PotřebníPracovníci
TemperaturePreference	PotřebaTeploty
LightPreference	PotřebaSvětla
Sink Down	Potopit
Then by	Potom podle
Then	Potom
Thenvalue	Potom
Suppress output of empty pages	Potlačit výstup prázdných stránek
Suppress lines with just empty fields	Potlačit řádky s prázdnými poli
Problems During Program Startup	Potíže se spuštěním aplikace
Paper problem	Potíže s papírem
Next convert $(ARG1)	Poté převést $(ARG1)
E-mail program	Poštovní klient
Mail & news	Pošta a zprávy
Mail & News	Pošta a zprávy
Mail	Pošta
Scrollbars	Posuvníky
Scrollbar	Posuvník
Scroll bar	Posuvník
Scroll Bar	Posuvník
Mouse moved	Posuv myši
Move Series Right	Posunout řady vpravo
Move Row Down	Posunout řady dolů
Move Image Up	Posunout obrázek nahoru
Move Image Down	Posunout obrázek dolů
Shift right	Posunout doprava
Shift down	Posunout dolů
Scroll Down	Posunout dolů
Shift cells right	Posunout buňky vpravo
Shift cells up	Posunout buňky nahoru
Shift cells right	Posunout buňky doprava
Shift cells down	Posunout buňky dolů
Shift cells left	Posunout buňky doleva
Shift cells	Posunout buňky
Move caret in notes view backward/forward	Posun ukazatele v zobrazení poznámek dozadu/dopředu
Scroll notes up/down	Posun poznámek nahoru/dolů
Mouse wheel scroll	Posun kolečkem myši
Shift	Posun
Consecutive numbering	Postupné číslování
Gradual	Postupně
Progress of saving: 	Postup ukládání: 
PostScript (Level from driver)	PostScript (úroveň z ovladače)
PostScript Level 1	PostScript
PostScript Level 2	PostScript
PostScript Level 3	PostScript
Push Up	Postrčit nahoru
Push Right	Postrčit doprava
Push Down	Postrčit dolů
Push Left	Postrčit doleva
Sidebar	Postranní lišta
PostgreSQL Connector	PostgreSQL konektor
PostgreSQL	PostgreSQL
Posterize	Posterizovat
Posterize	Posterizace
Post	POST
Scroll Horizontal	Posouvat vodorovně
Series...	Posloupnosti...
Last 7 days	Posledních 7 dní
Last modified: %DATE	Poslední změna: %DATE
Last record	Poslední záznam
Last Record	Poslední záznam
Last Custom Value	Poslední vlastní hodnota
Last interest	Poslední úrok
last week	poslední týden
Last page	Poslední stránka
Last Page	Poslední stránka
Last slide	Poslední snímek
Last Slide	Poslední snímek
Last Slide	Poslední snímek
Last column	Poslední sloupec
Last Column	Poslední sloupec
Last line:	Poslední řádek:
Last line	Poslední řádek
Last Used	Poslední použité
Last Image	Poslední obrázek
Last checked: Not yet	Poslední kontrola: Zatím nikdy
Recent Documents	Poslední dokumenty
Recent Documents	Poslední dokumenty
Last day of the period.	Poslední den období.
Last day of the period	Poslední den období
Last	Poslední
SendCard	PoslatPohled
Send Default Fax	Poslat výchozí fax
Send Via Bluetooth...	Poslat přes Bluetooth...
Script provider for Python	Poskytovatel skriptování Python
Script provider for JavaScript	Poskytovatel skriptování JavaScript
Script provider for BeanShell	Poskytovatel skriptování BeanShell
Send replies to different e-mail address	Posílat odpovědi na jinou adresu elektronické pošty
Cost of the asset	Pořizovací cena
Slide Sorter	Pořadí snímků
Slide Sorter	Pořadí snímků
Sorting order: 	Pořadí řazení:
Sort order	Pořadí řazení
Sort Order	Pořadí řazení
Sorting order	Pořadí řazení
Caption order	Pořadí popisků
Tab Order...	Pořadí aktivace...
Activation Order...	Pořadí aktivace...
Tab order	Pořadí aktivace
Tab Order	Pořadí aktivace
Order	Pořadí
Rankc	Pořadí
Meeting called by	Pořadatel
Slide Sorter	Pořadač snímků
Slide Sorter	Pořadač snímků
Portuguese (Portugal)	Portugalština (Portugalsko)
Portuguese (Brazil)	Portugalština (Brazílie)
Portuguese (Angola)	Portugalština (Angola)
Portuguese	Portugalština
Portuguese Escudo	Portugalské escudo
Port:	Port:
Port	Port
Port	Port
Comparison of Boolean values	Porovnávání booleovských hodnot
Match character width	Porovnat šířku znaku
Compare documents	Porovnat dokumenty
Compare Document...	Porovnat dokument...
Compare Document	Porovnat dokument
Compare	Porovnat
Compare	Porovnat
Compare #	Porovnání #
Comparison	Porovnání
Agenda...	Porada...
npopulation	populace
ServiceCharge	Poplatek
Titles...	Popisy...
Titles	Popisy
Descriptive Statistics...	Popisná statistika...
Descriptive Statistics	Popisná statistika
Labels...	Popisky...
Column labels	Popisky sloupců
Row labels	Popisky řádků
Data Labels...	Popisky dat...
Data Labels	Popisky dat
Data labels	Popisky dat
Labels	Popisky
Captions	Popisky
Caption...	Popisek...
Caption...	Popisek...
Caption:	Popisek:
A label that spans three rows	Popisek zabírající tři řádky
Frame Label	Popisek rámečku
text	popisek
label	popisek
Label	Popisek
Caption	Popisek
Caption	Popisek
Label text	Popisek
Label field	Popisek
Label Field	Popisek
Description...	Popis...
Description:	Popis:
Description:	Popis:
Secondary Y Axis Title...	Popis vedlejší osy Y...
Secondary Y Axis Title	Popis vedlejší osy Y
Secondary X Axis Title...	Popis vedlejší osy X...
Secondary X Axis Title	Popis vedlejší osy X
Page Description: 	Popis stránky: 
Feature Description:	Popis součásti:
Column Description	Popis sloupce
Z Axis Title...	Popis osy Z...
Z axis title	Popis osy Z
Z Axis Title	Popis osy Z
Y Axis Title...	Popis osy Y...
Y axis title	Popis osy Y
Y Axis Title	Popis osy Y
X Axis Title...	Popis osy X...
X axis title	Popis osy X
X Axis Title	Popis osy X
Title	Popis
Title	Popis
Descrption	Popis
Description	Popis
Description	Popis
POP3	POP3
Pop Art	Pop Art
POP 3	POP 3
Keep Old Styles	Ponechat původní styly
Keep filter criteria	Ponechat kritéria filtru
Keep formatting	Ponechat formátování
Visual aids	Pomůcky zobrazení
Writing aids	Pomůcky pro psaní
Writing Aids	Pomůcky pro psaní
Formatting Aids	Pomůcky pro formátování
Help text	Pomocný text
Dimension help line overhang	Pomocný řádek kóty přesahuje
Layout assistance	Pomocník s rozvržením
Help Agent	Pomocník
With X	Pomocí X
Use the sidebar to open or create a file.	Pomocí postranní lišty otevřete nebo vytvoříte soubor.
With /	Pomocí /
Hyphens	Pomlčky
Fly in Slow	Pomalu vlétnout
Slow	Pomalu
Polynomial (%SERIESNAME)	Polynomická (%SERIESNAME)
Polynomial	Polynomická
Polynomial	Polynomická
OrderDetails	PoložkyObjednávky
InvoiceDetails	PoložkyFaktury
Items on list	Položky v seznamu
List entries	Položky seznamu
Index entry	Položky rejstříku
Theme Items	Položky motivů vzhledu
Items to include	Položky faxu
Address Data - Field Assignment	Položky adresy - přiřazení polí
Entries	Položky
Entries	Položky
Printed items	Položky
OrderDetailID	PoložkaObjednávkyID
InvoiceDetailID	PoložkaFakturyID
LineTotal	PoložkaCelkem
Entry...	Položka...
Entry:	Položka:
Bibliography Entry...	Položka v seznamu použité literatury...
Bibliography entry: 	Položka v seznamu použité literatury: 
bibliography entry	položka seznamu použité literatury
Bibliography entry	Položka seznamu použité literatury
Index Entry...	Položka rejstříku...
Chapter entry	Položka kapitoly
Main index entry	Položka hlavního rejstříku
Main Index Entry	Položka hlavního rejstříku
Item	Položka
Entry	Položka
Item	Položka
items	položek
Half-width	Poloviční šířka
Half spin	Poloviční otočení
Corner radius	Poloměr rohu
Radius	Poloměr
Radius	Poloměr
Half-Sphere	Polokoule
OrderDetID	PolObjID
InvoiDetID	PolFaktID
Field/Expression	Pole/Výraz
Fields...	Pole...
Fields...	Pole...
Fields: Hidden text	Pole: skrytý text
Fields: Hidden paragraphs	Pole: skryté odstavce
Field from the List Table	Pole z tabulky seznamu
Field from the Value Table	Pole z tabulky hodnot
Pattern Field	Pole vzorku
Pattern Field	Pole vzorku
Option fields	Pole voleb
Fields in form	Pole ve formuláři
Fields in the form	Pole ve formuláři
Quoted field as text	Pole v uvozovkách jako text
Fields in report	Pole v sestavě
Fields in the subform	Pole v podformuláři
Fields in the Query: 	Pole v dotazu: 
Tablefields	Pole tabulky
Page Fields	Pole stránky
Column Fields	Pole sloupce
Combo Box	Pole se seznamem
List Box	Pole se seznamem
Combo Box	Pole se seznamem
Form Combo Box	Pole se seznamem
User data field is not defined!	Pole s uživatelskými údaji není definováno!
Date and Time Field	Pole pro datum a čas
Date Field	Pole pro datum
Date Field	Pole pro datum
Time Field	Pole pro čas
Time Field	Pole pro čas
Primary key fields	Pole primárního klíče
Label field	Pole popisku
Label field	Pole popisku
Field or Formula	Pole nebo vzorec
Array or procedure $(ARG1) not found.	Pole nebo procedura $(ARG1) nenalezena.
Name Box	Pole názvu
Array must be dimensioned.	Pole musí mít rozměr.
Pivot Table Field	Pole kontingenční tabulky
Array already dimensioned.	Pole již má rozměry.
Index field	Pole indexu
Mail merge fields	Pole hromadné korespondence
Form letter fields can not be included.	Pole formulářového dopisu nemohou být zahrnuta.
DDE field	Pole DDE
Database field	Pole databáze
Database field	Pole databáze
The sample data array.	Pole dat vzorku.
Field changed	Pole bylo změněno
field	pole
Field	Pole
Fields	Pole
Fields	Pole
Instrction	Pokyny
Instructions	Pokyny
trials	pokusy
Tried to open the table $name$.	Pokus o otevření tabulky $name$.
Remaining space 	Pokud chcete předmět zadat
Advanced	Pokročilé
Advanced Settings...	Pokročilá nastavení...
Continuation notice	Pokračující komentář
continue	pokračuj
Continue>>	Pokračovat>>
Continue line	Pokračovat v přímce
Resume streaming	Pokračovat v přenášení dat
Continue checking at beginning of document?	Pokračovat v kontrole od začátku dokumentu?
Continue checking at end of document?	Pokračovat v kontrole na konci dokumentu?
Continue search backwards	Pokračovat v hledání zpět
Continue search forward	Pokračovat v hledání kupředu
Continue previous numbering	Pokračovat v číslování
Continue at the beginning?	Pokračovat od začátku?
Continue at the end?	Pokračovat od konce?
Resume without error.	Pokračovat bez chyb.
Resume	Pokračovat
Continue	Pokračovat
Continue	Pokračovat
List 5 Cont.	Pokračování seznamu 5
List 4 Cont.	Pokračování seznamu 4
List 3 Cont.	Pokračování seznamu 3
List 2 Cont.	Pokračování seznamu 2
List 1 Cont.	Pokračování seznamu 1
Numbering 5 Cont.	Pokračování číslování 5
Numbering 4 Cont.	Pokračování číslování 4
Numbering 3 Cont.	Pokračování číslování 3
Numbering 2 Cont.	Pokračování číslování 2
Numbering 1 Cont.	Pokračování číslování 1
Name Object	Pojmenovat objekt
Named argument not found.	Pojmenovaný argument nenalezen.
Labeling fields	Pojmenování polí
Named shapes	Pojmenované tvary
Named pipe	Pojmenovaná roura
Named range	Pojmenovaná oblast
Insured	Pojištěno
Term	Pojem
POISSON.DIST	POISSON.DIST
POISSON	POISSON
Movement	Pohyb
View created	Pohled vytvořen
View closed	Pohled uzavřen
Outline View	Pohled s osnovou
Outline View	Pohled s osnovou
Icon View	Pohled s ikonami
The table view	Pohled na tabulku
Slide View	Pohled na snímky
Slides View	Pohled na snímky
Notes View	Pohled na poznámky
Handout View	Pohled na podklady
Content View	Pohled na obsah
Sheet view	Pohled na listy
Drawing View	Pohled na kreslení
Drawing View	Pohled na kreslení
Document view	Pohled na dokument
View is going to be closed	Pohled bude uzavřen
View #	Pohled #
View (Simple)...	Pohled (jednoduchý)...
Gender	Pohlaví
Autumn Leaves	Podzimní listí
Underline: Off	Podtržení: vypnuto
Underline: Dotted	Podtržení: tečkované
Underline: Single	Podtržení: jednoduché
Underline: Double	Podtržení: dvojité
Underlined	Podtržení
Underlining	Podtržení
Underline (Wave)	Podtržené (vlnka)
Underlined (Bold)	Podtržené (tučně)
Underline (Dash bold)	Podtržené (tučné čárky)
Underline (dot dot dash)	Podtržené (tečka tečka čárka)
Underline (Double wave)	Podtržené (dvojitá vlnka)
Underline (small wave)	Podtržené (drobná vlnka)
Underline (long dashes)	Podtržené (dlouhé čárky)
Underline (dot dash)	Podtržené (čerchovaně)
Underline (dashes)	Podtržené (čárky)
Underline	Podtržené
Underline	Podtržené
Underline all generated compound words	Podtrhnout všechna složená slova
Underline typo-like compound words	Podtrhnout složená slova
Underline ligatures	Podtrhnout slitky
Reveal Underline	Podtrhnout
Subtitle	Podtitul
Noun	Podstatné jméno
Subreport in New Window...	Podsestava v novém okně...
Subdivision	Podružné rozdělení
Details...	Podrobnosti...
Click the icon for more information.	Podrobnosti zobrazíte kliknutím na ikonu.
User Details	Podrobnosti o uživateli
Server Details	Podrobnosti o serveru
Image Details	Podrobnosti o obrázku
Index details	Podrobnosti o indexu
Detail or summary	Podrobnosti nebo souhrn
Detail	Podrobnosti
Details	Podrobnosti
Detailed calculation settings	Podrobné nastavení výpočtů
Detailed Calculation Settings	Podrobné nastavení výpočtů
Detailed information	Podrobné informace
below or equal average	podprůměrná nebo rovna průměru
Below or equal Average	Podprůměrná nebo rovna průměru
below average	podprůměrná
Below Average	Podprůměrná
Supports primary keys	Podporuje primární klíče
Metaweblog Support	Podpora pro Metaweblog
Java Disabled	Podpora Javy je vypnuta
CUPS support	Podpora CUPS
The signatures in this document are valid	Podpisy v tomto dokumentu jsou platné
Signature	Podpis
Climate	Podnebí
Subtitle...	Podnadpis...
Subtitle	Podnadpis
Subtitle	Podnadpis
Subset Or Equal To	Podmnožina nebo rovno
Subset	Podmnožina
Subset	Podmnožina
Search conditions	Podmínky výběru
Grouping conditions: 	Podmínky seskupování
Grouping conditions	Podmínky seskupení
A condition cannot be applied to field [*]	Podmínku nelze uplatnit na pole [*]
Condition...	Podmínka...
Date Condition	Podmínka data
Condition $number$	Podmínka $number$
Condition	Podmínka
Condition 	Podmínka
Condition	Podmínka
Conditional text	Podmíněný text
Conditional Style	Podmíněný styl
Conditional Styles	Podmíněné styly
Conditional Formatting...	Podmíněné formátování...
Conditional Formatting for	Podmíněné formátování pro
Conditional Formatting	Podmíněné formátování
Conditional Formatting	Podmíněné formátování
By character	Podle znaků
By word	Podle slov
By character	Podle písmen
By 5th level paragraphs	Podle odstavců 5. úrovně
By 4th level paragraphs	Podle odstavců 4. úrovně
By 3rd level paragraphs	Podle odstavců 3. úrovně
By 2nd level paragraphs	Podle odstavců 2. úrovně
By 1st level paragraphs	Podle odstavců 1. úrovně
Same as locale setting ( %1 )	Podle místního nastavení ( %1 )
By author	Podle autora
Handout	Podklady
Handouts	Podklady
Handouts	Podklady
Subform based on existing relation	Podformulář založený na existující relaci
Sub Form	Podformulář
Sign with Watermark	Podepsat vodoznakem
Sign with Watermark	Podepsat vodoznakem
Sign Document...	Podepsat dokument...
Signed by 	Podepsal 
Closed a sub component	Podčást uzavřena
Loaded a sub component	Podčást načtena
Below text	Pod textem
Below paragraph:	Pod odstavcem:
Below paragraph	Pod odstavcem
below the line	pod čarou
Below	Pod
Below	Pod
NoofTracks	PočStop
QuntityRes	PočRezer
NoofServng	PočPor
counting records	počítat záznamy
Count lines	Počítat řádky
Counting	Počítání
repcount	počítadlo|poč
Counter	Počitadlo
Computers	Počítače
Computer - WIFI	Počítač – WiFi
Computer - network devices	Počítač – síťové prvky
Computer - network	Počítač – sítě
Computer - general	Počítač - obecné
Hostname	Počítač
NumPhotos	PočFoto
NumberofTracks	PočetStop
QuantityReserved	PočetRezervováno
NumberofServings	PočetPorcí
npery	početobdobí
NumberofUnits	PočetJednotek
NumberUnit	PočetJedn
NumberOfPhotos	PočetFotografií
Count2	Počet2
Number:	Počet:
Number of Characters:	Počet znaků:
Number of characters:	Počet znaků:
Number of Characters excluding spaces:	Počet znaků bez mezer:
The number of characters for the end text.	Počet znaků
The number of elements selected.	Počet vybraných prvků.
Selection count	Počet vybraných
Number of records inserted: <COUNT>	Počet vložených záznamů: <COUNT>
Minor interval count	Počet vedlejších intervalů
The number of successes in the sample.	Počet úspěšných pokusů ve výběru.
The number of successes in the population.	Počet úspěšných pokusů v základním souboru.
The periods	Počet úročených období za rok
Number of title pages:	Počet titulních stránek:
Number of title pages	Počet titulních stránek
Number of Tables:	Počet tabulek:
Page count:	Počet stránek:
Number of Pages:	Počet stránek:
Number of pages:	Počet stránek:
Page Count	Počet stránek
Page Count	Počet stránek
Number of pages	Počet stránek
Number of pages	Počet stránek
Number of payment periods	Počet splátkových období
Number of Words:	Počet slov:
Word Count	Počet slov
Word Count	Počet slov
Number of columns:	Počet sloupců:
Number of columns:	Počet sloupců:
Number of rows:	Počet řádků:
Number of Lines:	Počet řádků:
Number of rows:	Počet řádků:
Number of lines in combination chart	Počet řádků v kombinovaném grafu
Line count	Počet řádek
Number of movable lines	Počet přesunutelných řádků
Gradient stripes	Počet pruhů přechodu
Pass Count:	Počet průběhů:
Number of places used.	Počet použitých míst.
Number of places used	Počet použitých míst
The number of trials.	Počet pokusů.
Number of Trials	Počet pokusů
Number of ticker runs	Počet opakování rolujícího textu
Loop Count	Počet opakování
Number of OLE Objects:	Počet OLE objektů:
Number of Paragraphs:	Počet odstavců:
Number of Images:	Počet obrázků:
Number of Graphics:	Počet obrázků:
Number of objects	Počet objektů
Number of objects 	Počet objektů
The number of failures in the trial range.	Počet neúspěšných pokusů v sérii.
No. of sheets:	Počet listů:
Number of Sheets:	Počet listů:
Number of worksheets in new document	Počet listů v novém dokumentu
Number of worksheets in new document	Počet listů v novém dokumentu
No. of sheets	Počet listů
Number of gradient steps	Počet kroků gradientu
Number of steps	Počet kroků
Number of steps	Počet kroků
Number of copies	Počet kopií
Number of copies	Počet kopií
CountA	Počet hodnot
Number of days	Počet dní
Count	Počet čísel
Number of segments	Počet částí
Number of lines	Počet čar
Number of Cells:	Počet buněk:
Number of colors:	Počet barev:
Color resolution	Počet barev
Count (numbers only)	Počet (pouze čísla)
Count (Numbers only)	Počet (pouze čísla)
Count - 	Počet - 
count	počet
Count	Počet
number	počet
Start angle	Počáteční úhel
Starting angle	Počáteční úhel
Start type	Počáteční typ
Start width	Počáteční šířka
Start style	Počáteční styl
Start quote of single quotes	Počáteční jednoduchá uvozovka
Open Values	Počáteční hodnoty
Start value:	Počáteční hodnota:
Start value	Počáteční hodnota
Start quote of double quotes	Počáteční dvojitá uvozovka
Start length	Počáteční délka
The start date.	Počáteční datum.
Start date	Počáteční datum
Start Date	Počáteční datum
The start date	Počáteční datum
Start number	Počáteční číslo
Start Time	Počáteční čas
Weather	Počasí
Near origin	Poblíž zdroje
Near axis (other side)	Poblíž osy (opačná strana)
Near axis	Poblíž osy
Baltic (Windows-1257)	Pobaltí (Windows-1257)
Baltic (ISO-8859-4)	Pobaltí (ISO-8859-4)
Baltic (DOS/OS2-775)	Pobaltí (DOS/OS2-775)
After record change	Po změně záznamu
After record action	Po záznamu
After inserting AutoText	Po vložení automatického textu
Per Page	Po stránkách
Clockwise	Po směru ručiček
Clockwise direction	Po směru hodinových ručiček
Per Column	Po sloupcích
After Section	Po sekci
After section	Po sekci
After resetting	Po přenastavení
After previous	Po předchozím
View PDF after Export	Po dokončení exportu zobrazit PDF
After animation:	Po animaci:
After updating	Po aktualizaci
After	Po
PNG - Portable Network Graphic	PNG - Portable Network Graphic
PNG	PNG
Pneumatic - parts	Pneumatika – značky
PMT	PMT
Smooth Transition	Plynulý přechod
Fade Smoothly	Plynule objevit
Plus	Plus
Floating Frame...	Plovoucí rámec...
Floating	Plovoucí
Double Curve Integral Sup/Sub script	Plošný integrál s indexem nahoře a dole
Double Curve Integral Superscript Top	Plošný integrál s indexem nahoře
Double Curve Integral Subscript Bottom	Plošný integrál s indexem dole
Double Curve Integral	Plošný integrál
Area	Plošný
Flat	Plochý
Flat	Ploché
Chart Area...	Plocha grafu...
Chart Area	Plocha grafu
Crops	Plodiny
Full (outer) join	Plný (vnější) spoj
Solid	Plné
fullprecision	plnápřesnost
Full width	Plná šířka
Full-width	Plná šířka
Full width	Plná šířka
solid	plná
Solid	Plná
PaymntTerm	PlatPod
valid range	platný rozsah
Valid signature	Platný podpis
Valid from %SDATE% to %EDATE%	Platný od %SDATE% do %EDATE%
Valid to	Platný do
Expiration date	Platnost do
Validity	Platnost
PaymentTerms	PlatebníPodmínky
Payments	Platby
PaymentID	PlatbaID
Salary	Plat
Shell	Plášť
Extrusion On/Off	Plastičnost zap/vyp
Extrusion	Plastičnost
Extrusion object	Plastický objekt
Plastic	Plastický
Extrusion objects	Plastické objekty
Plastic	Plast
Fiery	Plamenný
pixels/inch	pixely/palec
pixels/meter	pixely/metr
pixels/cm	pixely/cm
pixels	pixelů
print	piš
Fontwork reserved for 6	Písmomalba vyhrazena pro 6
Fontwork reserved for 5	Písmomalba vyhrazena pro 5
Fontwork reserved for 4	Písmomalba vyhrazena pro 4
Fontwork reserved for 3	Písmomalba vyhrazena pro 3
Fontwork reserved for 2	Písmomalba vyhrazena pro 2
Fontwork	Písmomalba
font work	písmomalba
Fontwork	Písmomalba
font works	písmomalba
Font: [1]	Písmo: [1]
Western text font	Písmo pro západní text
Formula fonts	Písmo pro vzorce
CTL font	Písmo pro komplexní rozvržení textu (CTL)
Asian text font	Písmo pro asijský text
font	písmo
Font	Písmo
Font	Písmo
Fonts	Písmo
Letter by letter	Písmeno za písmenem
by printer font	písmem tiskárny
Fonts...	Písma...
Formula fonts	Písma pro vzorce
Fonts	Písma
Fonts	Písma
Special Pictogramms	Piktogramy
Pica	Pika
pi|π	pi|π
pi	pi
PI	PI
Pinyin	Pchin-jin
Phong	Phong
phi	phi
PHI	PHI
Phags-Pa	Phags-Pa
PGM - Portable Graymap	PGM - Portable Graymap
Fixed legend angle	Pevný úhel popisku
Fixed content	Pevný obsah
Fixed Horizontal Right	Pevné vodorovně vpravo
Fixed Horizontal Left	Pevné vodorovně vlevo
Fixed Horizontal Center	Pevné vodorovně ve středu
Fixed Vertical Center	Pevné svisle ve středu
Fixed Vertical Top	Pevné svisle nahoře
Fixed Vertical Bottom	Pevné svisle dole
Fixed	Pevné
Fixed height:	Pevná výška:
Fixed column width	Pevná šířka sloupce
Fixed	Pevná šířka
Fixed	Pevná šířka
Fixed width	Pevná šířka
Pentagon	Pětiúhelník
5 Point Star	Pěticípá hvězda
5-Point Star	Pěticípá hvězda
perthousand	perthousand
Farsi	Perština
Persian	Perština
Perspective shadow	Perspektivní stínování
Perspective On/Off	Perspektiva zap/vyp
Perspective	Perspektiva
Perspective	Perspektiva
Personalize the mail merge documents	Personalizace dokumentů hromadné korespondence
Personalize document	Personalizace dokumentu
penup|pu	peronahoru|pn
pendown|pd	perodolů|pd
PERMUTATIONA	PERMUTATIONA
PERMUT	PERMUT
Perl	Perl
Periodic	Periodicky
Periodic Splines	Periodické křivky
Periodic Spline	Periodická křivka
Period	Perioda
PERCENTRANK	PERCENTRANK
PERCENTILE	PERCENTILE
Percentile	Percentil
Signet	Pečeť
PEARSON	PEARSON
PDF/A-1a	PDF/A-1a
PDF converter	PDF konvertor
PDF as Standard Print Job Format	PDF jako výchozí formát tiskových úloh
PDF as Standard Print Job Format	PDF jako výchozí formát tiskových úloh
PDF document will not be encrypted	PDF dokument nebude zašifrován
PDF document will be unrestricted	PDF dokument nebude omezen
PDF document will be encrypted	PDF dokument bude zašifrován
PDF document will be restricted	PDF dokument bude omezen
PDF - Print optimized	PDF - optimalizováno pro tisk
PDF - Press optimized	PDF - optimalizováno pro sazbu
PDF	PDF
PCX - Zsoft Paintbrush	PCX - Zsoft Paintbrush
PCT - Mac Pict	PCT - Mac Pict
PCD - Kodak Photo CD (768x512)	PCD - Kodak Photo CD (768x512)
