"source"	"target"
"PERCENTILE.INC"	"PERCENTIL.INC"
"PERCENTRANK"	"ORDEM.PORCENTUAL"
"PERCENTRANK.EXC"	"ORDEM.PORCENTUAL.EXC"
"PERCENTRANK.INC"	"ORDEM.PORCENTUAL.INC"
"Perform calculations, analyze information and manage lists in spreadsheets by using %PRODUCTNAME Calc."	"Execute cálculos, analise informações e faça a gestão de listas em planilhas utilizando o %PRODUCTNAME Calc."
"Perform calculations, analyze information and manage lists in spreadsheets by using Calc."	"Efetue cálculos, analise informações e gerencie listas em planilhas utilizando o Calc."
"Period"	"Período"
"period length"	"sazonalidade"
"period length"	
"Period:"	"Período:"
"Period. The depreciation period in the same time unit as the average useful life entry."	"Período. O período de depreciação na mesma unidade de tempo que a entrada vida útil média."
"Period. The depreciation period which must have the same time unit as average useful life."	"Período. O período de depreciação, que deve ter a mesma unidade de tempo que a média da vida útil."
"Period. The period for which the repayments are to be calculated. Per = 1 denotes for the first period, P = NPER for the last"	"Período. O período para o qual os reembolsos são calculados. Per = 1 denota o primeiro período, P = NPER para o último"
"Periodic"	"Periódico"
"Periodic Spline"	"Spline periódica"
"Periodic Splines"	"Splines periódicas"
"Periods: The period for which the depreciation is calculated. The time unit used for period must be the same as that for the useful life."	"Períodos: O período para o qual a depreciação é calculada. A unidade de tempo utilizada deve ser a mesma utilizada para a vida útil."
"Periods. The number of interest payment per year."	"Períodos. O número de pagamentos de juros por ano."
"Periods. The number of interest payments per year."	"Períodos. O número de pagamentos de juros por ano."
"Periods. The periods for which the compounded interest is to be calculated. P = 1 denotes for the first period, P = NPER for the last one."	"Períodos. Os períodos para os quais a taxa de juros compostos deverá ser calculada. P = 1 denota o primeiro período, P = NPER para o último período."
"Perl"	"Perl"
"permanent paper"	"papel permanente"
"Permission password set"	"Senha de permissão definida"
"PERMUT"	"PERMUTAR"
"PERMUTATIONA"	"PERMUTAÇÃOA"
"persevere"	"perseverante"
"Persian"	"Persa"
"Persistently save passwords for web connections"	"Salvar permanentemente as senhas de conexões internet"
"person frowning"	"pessoa triste"
"person pouting"	"pessoa rabugenta"
"Personal"	"Pessoal"
"Personal Address book"	"Catálogo de endereços pessoal"
"Personal certificates"	"Certificados pessoais"
"Personal Computer Exchange File"	"Arquivo Personal Computer Exchange"
"Personal Correspondence and Documents"	"Correspondência e documentos pessoais"
"Personal Fax"	"Fax pessoal"
"Personal letter"	"Carta pessoal"
"Personalization"	"Personalização"
"Personalize document"	"Personalizar o documento"
"Personalize the Mail Merge Documents"	"Personalizar os documentos da mala direta"
"Personalize the mail merge documents"	"Personalizar os documentos da mala direta"
"PersonID"	"IDPessoa"
"Perspective"	"Perspectiva"
"Perspective On/Off"	"Ativar / Desativar perspectiva"
"Perspective On/Off"	"Ativar/Desativar perspectiva"
"Perspective shadow"	"Sombra em perspectiva"
"perthousand"	"pormil"
"peso"	"peso"
"PGM - Portable Graymap"	"PGM - Portable Graymap"
"Phags-Pa"	"Phags-pa"
"Phaistos Disc"	"Disco de Festos"
"Phi"	"Fi"
"phi"	"fi"
"PHI"	"FI"
"phi"	"phi"
"PHI"	"PHI"
"Phoenician"	"Fenício"
"phone"	"telefone"
"Phone (Home)"	"Telefone (Residencial)"
"Phone (Work)"	"Telefone (Comercial)"
"Phone book"	"Agenda telefônica"
"Phone/Mobile"	"Telefone/Celular"
"Phone/mobile:"	"Telefone / celular:"
"Phone/mobile:"	"Telefone/Celular:"
"phone2"	"telefone2"
"PhoneNo"	"NumTel"
"PhoneNumber"	"NumeroTelefone"
"Phonetic (alphanumeric first, grouped by consonants)"	"Fonético (alfanumérico primeiro, agrupado por consoantes)"
"Phonetic (alphanumeric first, grouped by syllables)"	"Fonético (alfanumérico primeiro, agrupado por sílabas)"
"Phonetic (alphanumeric first)"	"Fonético (alfanumérico primeiro)"
"Phonetic (alphanumeric last, grouped by consonants)"	"Fonético (alfanumérico por último, agrupado por consoantes)"
"Phonetic (alphanumeric last, grouped by syllables)"	"Fonético (alfanumérico por último, agrupado por sílabas)"
"Phonetic (alphanumeric last)"	"Fonético (alfanumérico por último)"
"Phonetic Extensions"	"Extensões fonéticas"
"Phonetic Extensions Supplement"	"Suplemento de extensões fonéticas"
"Phonetic reading"	"Leitura fonética"
"Phong"	"Phong"
"Photo"	"Foto"
"Photo Album"	"Álbum fotográfico"
"Photographs"	"Fotografos"
"PhotoID"	"IDFoto"
"Photos - Buildings"	"Fotos - construções"
"Photos - Celebration"	"Fotos - celebração"
"Photos - Cities"	"Fotos - cidades"
"Photos - Fauna"	"Fotos - fauna"
"Photos - Flowers"	"Fotos - flores"
"Photos - Foods and Drinks"	"Fotos - alimentos e bebidas"
"Photos - Humans"	"Fotos - humanos"
"Photos - Landscapes"	"Fotos - paisagens"
"Photos - Objects"	"Fotos - objetos"
"Photos - Plants"	"Fotos - plantas"
"Photos - Space"	"Fotos - espaço"
"Photos - Statues"	"Fotos - estátuas"
"Photos - Travel"	"Fotos - viagem"
"Photosensi"	"SensibLuz"
"Photosensitivity"	"SensibilidadeLuz"
"Pi"	"Pi"
"pi"	"pi"
"PI"	"PI"
"pi|π"	"pi|π"
"piano"	"piano"
"Pica"	"Pica"
"pick"	"picareta"
"Pick a Color"	"Escolha uma cor"
"Pick a color from the document"	"Escolha uma cor no documento"
"Pick…"	"Escolher…"
"PickUpDate"	"DataRetirada"
"PickUpLoca"	"LocalRet"
"PickUpLocation"	"LocalRetirada"
"PickUpTime"	"HoraRetirada"
"Picture"	"Figura"
"picture"	"imagem"
"Picture"	"Imagem"
"Picture Placeholders"	"Espaços reservados para figuras"
"Picture..."	"Figura..."
"picture|pic"	"agrupar|grupo|grp|figura"
"Pictures"	"Imagens"
"Pictures and objects"	"Imagens e objetos"
"Pictures and other graphic objects"	"Figuras e outros objetos gráficos"
"Pie"	"Pizza"
"Pie exploded by %PERCENTVALUE percent"	"Gráfico de pizza fatiado em %PERCENTVALUE por cento"
"pig"	"porco"
"pig nose"	"focinho de porco"
"pig2"	"porco de frente"
"pill"	"pílula"
"pine"	"pinheiro"
"pineapple"	"abacaxi"
"Pink"	"Cor de rosa"
"pink"	"rosa"
"Pink Gradient"	"Gradiente de rosa"
"Pinwheel"	"Cata-vento"
"Pinyin"	"Pinyin"
"Pipette"	"Pipeta"
"Pisces"	"Peixes"
"pistol"	"pistola"
"Pitjantjatjara"	"Pitjantjatjara"
"Pivot Point"	"Pivô"
"Pivot point"	"Pivô"
"Pivot Table"	"Tabela dinâmica"
"Pivot Table Category"	"Categoria da tabela dinâmica"
"Pivot Table Corner"	"Canto da tabela dinâmica"
"Pivot Table Field"	"Campo da tabela dinâmica"
"Pivot Table Filter"	"Filtro de tabela dinâmica"
"Pivot Table Layout"	"Layout da tabela dinâmica"
"Pivot table needs at least two rows of data to create or refresh."	"A tabela dinâmica necessita de pelo menos duas linhas de dados para ser criada ou atualizada."
"Pivot table pop-up menu"	"Menu pop-up da tabela dinâmica"
"Pivot Table Result"	"Resultado da tabela dinâmica"
"Pivot table source data is invalid."	"A fonte de dados da tabela dinâmica é inválida."
"Pivot Table Title"	"Título da tabela dinâmica"
"Pivot Table Value"	"Valor da tabela dinâmica"
"Pivot Table..."	"Tabela dinâmica..."
"Pivot Tables"	"Tabelas dinâmicas"
"Pivot tables can not overlap."	"Tabelas dinâmicas não podem se sobrepor."
"pixel"	"pixel"
"Pixel Mode"	"Modo de pixel"
"pixels"	"pixels"
"Pixels"	"Pixels"
"pixels/cm"	"pixels/cm"
"pixels/inch"	"pixels/polegadas"
"pixels/meter"	"pixels/metro"
"pizza"	"pizza"
"Place"	"Local"
"Place at end of document"	"Colocar no fim do documento"
"Place at end of page"	"Colocar no fim da página"
"Place in margins"	"Colocar nas margens"
"Place labels"	"Colocar rótulos"
"Place marks"	"Colocar marcas"
"Place name"	"Nome do lugar"
"Place title pages at:"	"Colocar as páginas de rosto:"
"Placeholder"	"Espaço reservado"
"Placeholders"	"Espaços reservados"
"Placeholders will be used in empty fields. You can replace placeholders with text later."	"Espaços reservados podem ser utilizados em campos vazios. Posteriormente, você pode substituir os espaços reservados por texto."
"Placement"	"Colocação"
"Placement"	"Posicionamento"
"Placement:"	"Posição:"
"PlacePurch"	"LocCompra"
"PlacePurchased"	"LocalCompra"
"Places"	"Casas"
"Places"	"Locais"
"PlaceTaken"	"LocalTomada"
"Plain"	"Pleno"
"Plain look, do not use Themes"	"Não utilizar temas decorativos"
"Plain Text"	"Texto simples"
"Plain text (*.txt)"	"Texto sem formatação (*.txt)"
"Plain text files (*.txt)"	"Arquivos de texto sem formatação (*.txt)"
"PlantID"	"IDPlanta"
"Plants"	"Plantas"
"Plastic"	"Plástico"
"Platform Vendor"	"Fabricante"
"Platform vendor"	"Fabricante"
"Play"	"Reproduzir"
"Play audio"	"Reproduzir áudio"
"Play sound"	"Reproduzir som"
"Playing Cards"	"Jogo de cartas"
"PldgPdDate"	"DataPagObrig"
"Please add Images to the Album."	"Adicione as imagens ao álbum."
"Please be aware that administrator rights are needed for the installation process."	"Observe que o processo de instalação requer direitos de administrador."
"Please bring"	"Favor trazer"
"Please change the table name. It is too long."	"Altere o nome da tabela. Este é longo demais."
"Please check the current settings, for example user name and password."	"Verifique as configurações atuais, por exemplo, nome e senha do usuário."
"Please check the settings made for the data source."	"Verifique as configurações selecionadas para a fonte de dados."
"Please check your document for ranges relevant to printing."	"Analise o documento e verifique os intervalos relevantes a imprimir."
"Please choose 'Connect to an existing database' to connect to an existing database instead."	"Selecione 'Conectar a um banco de dados existente' para conectar-se a um banco de dados."
"Please choose a currency to be converted first!"	"Escolha a moeda a ser convertida primeiro!"
"Please choose a printer and try again."	"Escolha uma impressora e tente novamente."
"Please choose another name."	"Escolha outro nome."
"Please choose the page design for the agenda"	"Escolha o modelo de página da agenda"
"Please choose the type of letter and page design"	"Escolha o tipo de carta e o modelo da página"
"Please commit row '$position$' before update rows or insert new rows."	"Grave a linha '$position$' antes de atualizar linhas ou inserir novas linhas."
"Please enter a binding expression."	"Insira a expressão de vinculação."
"Please enter a name for the bitmap:"	"Insira um nome para o bitmap:"
"Please enter a name for the external bitmap:"	"Insira um nome para o bitmap externo:"
"Please enter a name for the gradient:"	"Insira um nome para o gradiente:"
"Please enter a name for the hatching:"	"Insira um nome para a hachura:"
"Please enter a name for the line style:"	"Insira um nome para o estilo de linha:"
"Please enter a name for the new arrowhead:"	"Insira um nome para a nova ponta de seta:"
"Please enter a name for the new color:"	"Insira um nome para a nova cor:"
"Please enter a name for the object to be created:"	"Insira um nome para o objeto a criar:"
"Please enter a password to open or to modify, or check the open read-only option to continue."	"Digite a senha para abrir ou para modificar, ou então marque a opção somente leitura para continuar."
"Please enter general information for the event"	"Forneça as informações gerais sobre o evento"
"Please enter the fax number"	"Digite o número do fax"
"Please enter the required information to connect to a JDBC database. Please contact your system administrator if you are unsure about the following settings."	"Forneça as informações necessárias à conexão com um banco de dados JDBC. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the required information to connect to a MySQL database using JDBC. Note that a JDBC driver class must be installed on your system and registered with %PRODUCTNAME. Please contact your system administrator if you are unsure about the following settings."	"Forneça as informações necessárias à conexão com um banco de dados MySQL utilizando JDBC. Observe que uma classe de driver JDBC deve estar instalada no seu sistema e registrada com o %PRODUCTNAME. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the required information to connect to a MySQL database using JDBC. Note that a JDBC driver class must be installed on your system and registered with %PRODUCTNAME. Please contact your system administrator if you are unsure about the following settings. "	"Forneça as informações necessárias à conexão com um banco de dados MySQL utilizando JDBC. Observe que uma classe de driver JDBC deve estar instalada no seu sistema e registrada com o %PRODUCTNAME. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the required information to connect to a MySQL database."	"Insira a informação necessária para conectar a um banco de dados MySQL."
"Please enter the required information to connect to an LDAP directory. Please contact your system administrator if you are unsure about the following settings."	"Forneça as informações necessárias à conexão com um banco de dados LDAP. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the required information to connect to an Oracle database. Note that a JDBC Driver Class must be installed on your system and registered with %PRODUCTNAME. Please contact your system administrator if you are unsure about the following settings."	"Digite as informações necessárias para conectar-se a um banco de dados Oracle. Note que uma classe do  driver JDBC  deve estar instalada no seu sistema e registrada no  %PRODUCTNAME. Contacte seu administrador de sistemas se não tiver certeza das configurações a seguir."
"Please enter the required information to connect to an Oracle database. Note that a JDBC Driver Class must be installed on your system and registered with %PRODUCTNAME. Please contact your system administrator if you are unsure about the following settings."	"Forneça as informações necessárias à conexão com um banco de dados Oracle. Observe que uma classe de driver JDBC deve estar instalada no seu sistema e registrada com o %PRODUCTNAME. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the required information to connect to an Oracle database.Note that a JDBC Driver Class must be installed on your system and registered with %PRODUCTNAME. Please contact your system administrator if you are unsure about the following settings."	"Forneça as informações necessárias à conexão com um banco de dados Oracle. Observe que uma classe de driver JDBC deve estar instalada no seu sistema e registrada com o %PRODUCTNAME. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter the URL of the ADO data source you want to connect to. Click 'Browse' to configure provider-specific settings. Please contact your system administrator if you are unsure about the following settings."	"Digite o URL da fonte de dados ADO com que deseja se conectar. Clique em Procurar' para definir as configurações específicas ao fornecedor. Entre em contato com o administrador do sistema se estiver em dúvida em relação às configurações a seguir."
"Please enter your authentication data for server “%s”"	"Digite seus dados de autenticação no servidor “%s”"
"Please enter your authentication data for server %s"	"Digite seus dados de autenticação no servidor %s"
"Please enter your information."	"Digite suas informações."
"Please follow these steps to proceed with the installation of the extension:"	"Siga as etapas abaixo para prosseguir com a instalação da extensão:"
"Please inform us if transmission errors occur."	"Informe-nos caso ocorra um erro de transmissão."
"Please insert disk $(ARG1)."	"Coloque o disco $(ARG1)."
"Please insert the disk: [2]"	"Insira o disco: [2]"
"Please make sure you have enough free memory in the temporary directory on your system, and please ensure that read, write and run access rights have been granted. Close all other programs before starting the installation process."	"Garanta que haja memória suficiente no diretório temporário de seu sistema, e assegure-se que os direitos de leitura, gravação e execução foram outorgados. Feche todos os demais programas antes de iniciar o processo de instalação."
"Please note that some databases may not support this join type."	"Note que alguns bancos de dados podem não aceitar esse tipo de join."
"Please note that the Euro Converter will, otherwise, not be able to edit this document!"	"Observe que o conversor de Euro, de outra forma, não poderá editar este documento!"
"Please press enter to go into child control for more operations"	"Pressione Enter para acessar os subcontroles e mais opções"
"Please provide a different file name!"	"Forneça um nome de arquivo diferente!"
"Please read"	"Favor ler"
"Please read the following license agreement carefully."	"Leia cuidadosamente o contrato de licença apresentado a seguir."
"Please restart %PRODUCTNAME now so the new or modified values can take effect."	"Reinicie o %PRODUCTNAME para que os valores adicionados ou alterados produzam efeito."
"Please save this document locally instead and attach it from within your e-mail client."	"Salve este documento localmente em vez de anexá-lo na aplicação de correio."
"Please save this document under a different name."	"Salve este documento com outro nome."
"Please select a %PRODUCTNAME Calc document for editing!"	"Selecione um documento do %PRODUCTNAME Calc para edição!"
"Please select a data source"	"Selecione uma fonte de dados"
"Please select a folder."	"Selecione a pasta."
"Please select a folder."	"Selecione uma pasta."
"Please select a setup type."	"Selecione um tipo de instalação."
"Please select a table or query"	"Selecione uma tabela ou consulta"
"Please select a type of address book."	"Selecione um tipo de catálogo de endereços."
"Please select the headings you wish to include in your agenda template"	"Selecione os títulos que deseja incluir no seu modelo de agenda"
"Please select the Microsoft Access file you want to access."	"Selecione o arquivo Microsoft Access que deseja acessar."
"Please select the names you wish to include in your agenda template"	"Selecione os nomes que deseja incluir no modelo da agenda"
"Please Select the Type of Your External Address Book"	"Selecione o tipo do seu catálogo de endereços externo"
"Please select the type of your external address book"	"Selecione o tipo do seu catálogo de endereços externo"
"Please specify items for the agenda"	"Especifique os itens da pauta"
"Please specify last settings"	"Especifique as últimas configurações"
"Please type in a valid file name."	"Digite um nome de arquivo válido."
"Please wait while the Installation Wizard installs [ProductName]. This may take several minutes."	"Aguarde enquanto o assistente instala o [ProductName]. Esta operação pode demorar alguns minutos."
"Please wait while the Installation Wizard uninstalls [ProductName]. This may take several minutes."	"Aguarde enquanto o assistente desinstala o [ProductName]. Esta operação pode demorar alguns minutos."
"Please wait while Windows configures [ProductName]"	"Aguarde enquanto o Windows configura o [ProductName]"
"PledgeAmnt"	"QuantObriga"
"PledgeAmount"	"QuantiaObrigacao"
"PledgePaidDate"	"DataPagamentoObrigacao"
"Plot missing values"	"Traçar valores omissos"
"Plot Options"	"Opções de traçado"
"Plot options"	"Opções de traçado"
"Plucker eBook"	"Livro eletrônico Plucker"
"plug"	"cabo de força"
"Plug-in"	"Plug-in"
"Plug-in from document % could not be inserted."	"Não foi possível inserir o plug-in do documento %."
"Plug-in object"	"Objeto de plug-in"
"Plug-in..."	"Plug-in..."
"Plug-ins"	"Plug-ins"
"Plug-ins Off"	"Desativar plug-ins"
"Plus"	"Cruz"
"Pluto"	"Plutão"
"PMT"	"Pgto"
"PMT"	"PGTO"
"Pneumatic - parts"	"Pneumático - peças"
"PNG"	"PNG"
"PNG - Portable Network Graphic"	"PNG - Portable Network Graphic"
"PNG image"	"Imagem PNG"
"Point"	"Point"
"Point"	"Ponto"
"point"	"ponto"
"Point from %1"	"Ponto de %1"
"Point reduction"	"Redução de ponto"
"Point reduction:"	"Redução de ponto:"
"Point the dialog to your [PRODUCTNAME] [PRODUCTVERSION] installation."	"Aponte a caixa de diálogo para a sua instalação do [PRODUCTNAME] [PRODUCTVERSION]."
"Pointer"	"Ponteiro"
"points"	"pontos"
"Points"	"Pontos"
"Points and Lines"	"Pontos e linhas"
"Points Only"	"Somente pontos"
"Pointy Star"	"Estrela com pontas"
"poison"	"veneno"
"POISSON"	"POISSON"
"POISSON.DIST"	"DIST.POISSON"
"police car"	"carro de polícia"
"police car2"	"carro de polícia 2"
"Polish"	"Polonês"
"Polish spelling dictionary, hyphenation rules, and thesaurus"	"Dicionário ortográfico, sinônimos e regras de hifenização em polonês"
"Polygon"	"Polígono"
"Polygon (45°)"	"Polígono (45°)"
"Polygon (45°), Filled"	"Polígono (45°), preenchido"
"Polygon %2 corners"	"Polígono de %2 vértices"
"Polygon, filled"	"Polígono, preenchido"
"Polygons"	"Polígonos"
"Polyline"	"Polilinha"
"Polyline with %2 corners"	"Polilinha com %2 vértices"
"Polylines"	"Polilinhas"
"Polynomial"	"Polinomial"
"poo"	"cocô"
"poodle"	"poodle"
"Pool"	"Pool"
"Pool Party"	"Festa na piscina"
"Pop Art"	"Arte pop"
"Pop-up menu for drawing objects"	"Menu pop-up para objetos de desenho"
"Pop-up menu for text objects"	"Menu pop-up para objetos de texto"
"POP3"	"POP3"
"Popup menu for form objects"	"Menu pop-up para objetos do formulário"
"Port"	"Porta"
"Port number"	"Número da porta"
"Port number:"	"Número da porta:"
"Port:"	"Porta:"
"Portable Bitmap Format File"	"Arquivo Portable Bitmap Format "
"Portable Bitmap Import/Export"	"Importação/Exportação de Portable Bitmap"
"Portable Bitmap Import/Export Filters"	"Filtros para importação/exportação de Portable Bitmap"
"Portable Graymap Format File"	"Arquivo Portable Graymap Format"
"Portable Network Graphics File"	"Arquivo Portable Network Graphics"
"Portable Pixmap Format File"	"Arquivo Portable Pixmap Format"
"Portions Copyright 1998, 1999 James Clark. Portions Copyright 1996, 1998 Netscape Communications Corporation."	"Partes com Copyright 1998, 1999 James Clark. Partes com Copyright 1996, 1998 Netscape Communications Corporation."
"Portrait"	"Retrato"
"Portuguese"	"Português"
"Portuguese (Angola)"	"Português (Angola)"
"Portuguese (Brazil)"	"Português (Brasil)"
"Portuguese (Brazil) spelling Dictionary (1990 Spelling Agreement), and hyphenation rules"	"Dicionário ortográfico e regras de hifenização em português do Brasil (Acordo Ortográfico de 1990)"
"Portuguese (Portugal)"	"Português (Portugal)"
"Portuguese Escudo"	"Escudo português"
"Position"	"Cargo"
"Position"	"Posição"
"position"	"posição"
"Position "	"Posição "
"Position and Size"	"Posição e tamanho"
"Position and size"	"Posição e tamanho"
"Position and Size..."	"Posição e tamanho..."
"Position and Spacing"	"Posição e espaçamento"
"Position and spacing"	"Posição e espaçamento"
"Position in Document"	"Posição no documento"
"Position not protected"	"Posição não protegida"
"Position of the selected entry"	"Posição da entrada selecionada"
"Position of vertical axis:"	"Posição do eixo vertical:"
"Position protected"	"Posição protegida"
"Position X"	"Posição X"
"Position X, complete"	"Posição X, completa"
"Position X:"	"Posição X:"
"Position Y"	"Posição Y"
"Position Y, complete"	"Posição Y, completa"
"Position Y:"	"Posição Y:"
"Position:"	"Cargo:"
"Position:"	"Posição:"
"position|pos|setpos"	"posicionar|pos"
"Positioning"	"Posicionamento"
"PositionX"	"PosiçãoX"
"PositionY"	"PosiçãoY"
"Positive"	"Positivo"
"Positive (+)"	"Positivo (+)"
"Positive (+):"	"Positivo (+):"
"Positive and Negative"	"Positivo e negativo"
"Positive integer less than 2^48."	"Inteiro positivo menor que 2^48."
"Positive X-Error-Bars"	"Barras de erro X positivas"
"Positive Y-Error-Bars"	"Barras de erro Y positivas"
"Positive:"	"Positivo:"
"Possible mistakes"	"Erros possíveis"
"Possible mistakes"	"Possíveis erros"
"Post"	"Post"
"post office"	"correio europeu"
"post office2"	"correio japonês"
"PostalCode"	"CodigoPostal"
"postbox"	"caixa de correio5"
"Poster colors"	"Cores do poster"
"Poster colors:"	"Cores do poster:"
"Posterize"	"Converter para poster"
"Posterize"	"Poster"
"PostgreSQL"	"PostgreSQL"
"PostgreSQL Connector"	"Conector PostgreSQL"
"PostScript (Level from driver)"	"PostScript (nível do driver)"
"PostScript Level 1"	"PostScript nível 1"
"PostScript Level 2"	"PostScript nível 2"
"PostScript Level 3"	"PostScript nível 3"
"Posture of Asian font"	"Postura das fontes asiáticas"
"Posture of complex scripts"	"Postura dos scripts complexos"
"potable water"	"água potável"
"pouch"	"necessaire"
"poultry leg"	"coxa de frango"
"pound"	"libra"
"pound2"	"libra2"
"pouting cat"	"gato rabugento"
"Power"	"Geométrica"
"Power"	"Potência"
"POWER"	"POTÊNCIA"
"Power Regression"	"Regressão geométrica"
"Power save mode"	"Modo de economia de energia"
"Power to which the complex number is raised"	"Potência à qual o número complexo é elevado"
"PowerPoint Import"	"Importação de PowerPoint"
"PowerPoint templates"	"Modelos do PowerPoint"
"PowerPoint to %PRODUCTNAME Impress or reverse"	"PowerPoint para %PRODUCTNAME Impress e vice-versa"
"PowerPoint/Publisher documents"	"Documentos do PowerPoint/Publisher"
"PPM - Portable Pixelmap"	"PPM - Portable Pixelmap"
"PPMT"	"PPGTO"
"pray"	"reza"
"Pre evaluation"	"Pré avaliação"
"Pre-formatted text"	"Texto pré-formatado"
"Pre-installed Theme (if available)"	"Tema pré-instalado (se disponível)"
"Pre-sort area according to groups"	"Pré-ordenar área de acordo com os grupos"
"Precedes"	"Precede"
"Precedes or equal to"	"Precede ou é igual a"
"Precedes or equivalent to"	"Precede ou é equivalente a"
"Precision as shown"	"Calcular com a precisão do número mostrado"
"Precision is less than scale for column '$columnname$'."	"A precisão é menor que a escala para a coluna '$columnname$'."
"Predefined labels cannot be overwritten, use another name."	"Não é possível sobrescrever as etiquetas pré-definidas. Utilize outro nome."
"Preference Name"	"Nome da preferência"
"Preferences"	"Preferências"
"Preferences..."	"Preferências..."
"Prefix"	"Prefixo"
"Prefix Characters"	"Caracteres de prefixo"
"Prefix name for new worksheet"	"Prefixo para novas planilhas"
"Prefix name for new worksheet:"	"Prefixo para novas planilhas:"
"Prefix symbol"	"Símbolo de prefixo"
"Prefix:"	"Prefixo:"
"Preformatted Text"	"Texto pré-formatado"
"Preformatted Text"	"Texto préformatado"
"Prepare"	"Preparar"
"Preparing export..."	"Preparando para exportar..."
"Preparing preview"	"Preparando visualização"
"Preparing table of contents generation..."	"Preparando a geração do índice geral..."
"Preparing to publish..."	"Preparando para a publicação..."
"Preparing to remove older versions of this application"	"Preparando para remover as versões anteriores deste aplicativo"
"Present"	"Presente"
"Present Languages"	"Idiomas presentes"
"Present languages:"	"Idiomas presentes:"
"Present value. Calculates the present value of an investment."	"Valor presente. Calcula o valor presente de um investimento."
"Present value. The current value of a series of payments"	"Valor presente. O valor atual de uma série de pagamentos"
"Present value. The current value of the investment."	"Valor presente. O valor atual do investimento."
"Presentation"	"Apresentação"
"Presentation always on top"	"Apresentação sempre em primeiro plano"
"Presentation Backgrounds"	"Planos de fundo para apresentações"
"Presentation display:"	"Tela de apresentação:"
"Presentation Graphic Options"	"Opções de figura de apresentação"
"Presentation Layout"	"Layout da apresentação"
"Presentation Minimizer"	"Compactador de apresentação"
"Presentation mode"	"Modo de apresentação"
"Presentation Mode"	"Modo de apresentação"
"Presentation Object..."	"Objeto de apresentação..."
"Presentation Object..."	
"Presentation Options"	"Opções de apresentação"
"Presentation Styles"	"Estilos de apresentação"
"Presentation Wizard"	"Assistente de apresentação"
"Presentation Wizard"	"Assistente de apresentações"
"Presentation..."	"Apresentação..."
"PresentationDateAndTime"	"Data e hora apresentação"
"PresentationDateAndTimeShape"	"Forma data e hora apresentação"
"PresentationFooter"	"Rodapé apresentação"
"PresentationFooterShape"	"Forma rodapé apresentação"
"PresentationHandoutShape"	"Forma folheto apresentação"
"PresentationHeader"	"Cabeçalho apresentação"
"PresentationHeaderShape"	"Forma cabeçalho apresentação"
"PresentationNotes"	"Notas apresentação"
"PresentationNotesShape"	"Forma notas apresentação"
"PresentationOutliner"	"Tópicos apresentação"
"PresentationOutlinerShape"	"Forma tópicos apresentação"
"PresentationPage"	"Página apresentação"
"PresentationPageNumber"	"Numero página apresentação"
"PresentationPageNumberShape"	"Forma numero página apresentação"
"PresentationPageShape"	"Forma página apresentação"
"Presentations"	"Apresentações"
"PresentationSubtitle"	"Subtitulo apresentação"
"PresentationSubtitleShape"	"Forma subtítulo apresentação"
"PresentationTitle"	"Título apresentação"
"PresentationTitleShape"	"Forma título apresentação"
"Presenter Console"	"Console do apresentador"
"Presenter Notes"	"Notas do apresentador"
"Preserve"	"Preservar"
"Preserve as Link"	"Manter como vínculo"
"Press 'Next' to save a copy of your document, and to begin the migration."	"Pressione 'Próximo' para salvar uma cópia de backup de seu documento, e para iniciar a migração."
"Press 'Start Recovery' to start the recovery process of the documents listed below.  Press 'Discard Recovery Data' to abandon attempting recovery of these documents.  The 'Status' column shows whether the document can be recovered."	"Pressione 'Iniciar recuperação' para iniciar o processo de recuperação dos documentos listados abaixo.  Pressione 'Descartar dados de recuperação' para abandonar a tentativa de recuperação destes documentos.  A coluna 'Status' mostra se o documento pode ser recuperado."
"Press 'Start Recovery' to start the recovery process of the documents listed below.  The 'Status' column shows whether the document can be recovered."	"Pressione 'Iniciar recuperação' para iniciar o processo de recuperação dos documentos listados abaixo.  A coluna 'Status' mostra se o documento pode ser recuperado."
"Press Ctrl+Alt+A to move focus for more operations"	"Pressione Ctrl+Alt+A para mover o foco para outras operações"
"Press Ctrl+Alt+B to move focus back to the current structure control"	"Pressione Ctrl+Alt+B para mover o foco para o controle de estrutura atual"
"Press Enter to move selection"	"A tecla Enter move a seleção para"
"Press Enter to switch to edit mode"	"Pressionar Enter para mudar para o modo de edição"
"Press left or right arrow to choose the structure controls"	"Pressione a seta para a direita ou esquerda para escolher os controles da estrutura"
"Prevent changes"	"Impedir alterações"
"Preview"	"Visualização"
"Preview"	"Visualizar"
"Preview Document"	"Visualizar o documento"
"Preview document"	"Visualizar o documento"
"Preview Effect"	"Visualizar efeito"
"Preview in Web Browser"	"Visualizar no navegador web"
"Preview Mode"	"Modo de visualização"
"Preview Next Address Block"	"Visualizar próximo bloco de endereço"
"Preview not available"	"Visualização não disponível"
"Preview object"	"Visualizar objeto"
